Database???Quarterly
Quarter��2000-2023
Indicators,2Q 2023,1Q 2023,4Q 2022,3Q 2022,2Q 2022,1Q 2022,4Q 2021,3Q 2021,2Q 2021,1Q 2021,4Q 2020,3Q 2020,2Q 2020,1Q 2020,4Q 2019,3Q 2019,2Q 2019,1Q 2019,4Q 2018,3Q 2018,2Q 2018,1Q 2018,4Q 2017,3Q 2017,2Q 2017,1Q 2017,4Q 2016,3Q 2016,2Q 2016,1Q 2016,4Q 2015,3Q 2015,2Q 2015,1Q 2015,4Q 2014,3Q 2014,2Q 2014,1Q 2014,4Q 2013,3Q 2013,2Q 2013,1Q 2013,4Q 2012,3Q 2012,2Q 2012,1Q 2012,4Q 2011,3Q 2011,2Q 2011,1Q 2011,4Q 2010,3Q 2010,2Q 2010,1Q 2010,4Q 2009,3Q 2009,2Q 2009,1Q 2009,4Q 2008,3Q 2008,2Q 2008,1Q 2008,4Q 2007,3Q 2007,2Q 2007,1Q 2007,4Q 2006,3Q 2006,2Q 2006,1Q 2006,4Q 2005,3Q 2005,2Q 2005,1Q 2005,4Q 2004,3Q 2004,2Q 2004,1Q 2004,4Q 2003,3Q 2003,2Q 2003,1Q 2003,4Q 2002,3Q 2002,2Q 2002,1Q 2002,4Q 2001,3Q 2001,2Q 2001,1Q 2001,4Q 2000,3Q 2000,2Q 2000,1Q 2000
Gross Domestic Product Current Quarter(100 million yuan),308037.6,284996.6,335507.9,309270.6,293919.5,271509.2,325899.4,291288.1,282849.2,249200.2,295618.8,264355.7,248347.7,205244.8,276798.0,251046.3,241502.6,217168.3,258808.9,234474.3,223962.2,202035.7,235428.7,212789.3,201950.3,181867.7,211566.2,191010.6,181408.2,162410.0,192572.9,176597.7,168549.7,151137.9,180828.9,165484.7,156489.6,140759.8,167772.3,152222.7,143518.7,129449.6,151812.0,138089.6,131320.6,117357.6,138012.1,126562.2,118895.9,104469.9,119306.8,105963.7,99347.4,87501.3,100825.8,89846.9,83865.8,73979.2,88699.0,82460.1,78711.8,69373.6,78669.3,69482.1,64781.6,57159.3,63621.6,56064.7,52673.3,47078.9,54024.8,48047.8,44793.1,40453.3,46739.8,41855.0,38700.8,34544.6,39767.4,35291.9,32537.3,29825.5,34970.3,31257.3,29194.8,26295.0,31716.8,28333.3,26726.6,24086.4,29194.3,25712.5,24043.4,21329.9
Gross Domestic Product Accumulated(100 million yuan),593034.2,284996.6,1210207.2,874699.3,565428.7,271509.2,1149237.0,823337.5,532049.4,249200.2,1013567.0,717948.2,453592.5,205244.8,986515.2,709717.2,458670.9,217168.3,919281.1,660472.2,425997.9,202035.7,832035.9,596607.3,383818.0,181867.7,746395.1,534828.9,343818.2,162410.0,688858.2,496285.3,319687.6,151137.9,643563.1,462734.2,297249.5,140759.8,592963.2,425190.9,272968.2,129449.6,538580.0,386767.9,248678.3,117357.6,487940.2,349928.0,223365.8,104469.9,412119.3,292812.4,186848.7,87501.3,348517.7,247691.9,157845.0,73979.2,319244.6,230545.6,148085.5,69373.6,270092.3,191423.1,121940.9,57159.3,219438.5,155816.8,99752.2,47078.9,187318.9,133294.1,85246.4,40453.3,161840.2,115100.4,73245.4,34544.6,137422.0,97654.7,62362.8,29825.5,121717.4,86747.1,55489.8,26295.0,110863.1,79146.3,50813.0,24086.4,100280.1,71085.9,45373.3,21329.9
Value-added of the Primary Industry Current Quarter(100 million yuan),18841.2,11575.0,33496.6,25683.3,18215.2,10950.0,31539.1,23142.6,17165.5,11369.3,29715.7,22158.1,15934.5,10222.5,27464.4,19801.0,14439.9,8768.3,24938.7,18226.9,13003.8,8575.7,22992.9,18255.8,12644.9,8205.9,21728.2,17542.4,12555.9,8312.7,21376.1,17173.1,11852.2,7373.2,20522.1,16854.9,11109.4,7140.0,19864.3,15904.9,10389.7,6869.1,18071.3,14656.0,9911.4,6446.0,16189.7,13855.6,9143.3,5592.8,14185.4,11633.8,7785.6,4826.0,12355.9,9994.8,6868.3,4364.8,11440.1,9825.3,6831.2,4367.5,10338.4,8352.6,5510.1,3473.0,8616.6,6937.7,4750.0,3012.7,7956.4,6527.7,4438.6,2884.0,7679.7,6358.6,4250.5,2615.6,6254.4,5046.1,3447.2,2222.5,5925.6,4731.2,3385.8,2147.6,5798.4,4453.8,3235.0,2015.3,5510.2,4140.6,3158.2,1908.3
Value-added of the Primary Industry Accumulated(100 million yuan),30416.2,11575.0,88345.1,54848.5,29165.2,10950.0,83216.5,51677.3,28534.8,11369.3,78030.9,48315.2,26157.1,10222.5,70473.6,43009.1,23208.2,8768.3,64745.2,39806.4,21579.5,8575.7,62099.5,39106.6,20850.8,8205.9,60139.2,38411.0,20868.7,8312.7,57774.6,36398.5,19225.5,7373.2,55626.3,35104.3,18249.4,7140.0,53028.1,33163.7,17258.8,6869.1,49084.6,31013.4,16357.3,6446.0,44781.5,28591.7,14736.1,5592.8,38430.8,24245.4,12611.6,4826.0,33583.8,21227.9,11233.1,4364.8,32464.1,21024.0,11198.7,4367.5,27674.1,17335.7,8983.1,3473.0,23317.0,14700.4,7762.7,3012.7,21806.7,13850.3,7322.6,2884.0,20904.3,13224.7,6866.1,2615.6,16970.2,10715.9,5669.7,2222.5,16190.2,10264.7,5533.4,2147.6,15502.5,9704.1,5250.4,2015.3,14717.4,9207.2,5066.5,1908.3
Value-added of the Secondary Industry Current Quarter(100 million yuan),122734.8,107946.7,132600.6,121642.2,122638.2,106283.4,130932.4,113632.9,114458.2,92520.7,113719.2,99897.5,97529.8,72415.9,107730.1,96420.1,95923.7,80596.7,104023.9,93112.5,91100.6,76598.2,95368.0,84574.1,82323.0,69315.5,85504.1,75400.5,73416.5,61106.8,78356.3,71526.7,70950.0,60505.9,77725.9,70971.1,69458.3,59127.4,74211.4,66748.7,65130.3,55861.2,68633.5,62256.2,61433.2,52316.2,64334.6,58622.5,56884.0,47194.0,55933.6,48906.4,47422.3,39364.2,46928.2,41313.0,39378.6,32549.0,41196.4,38895.0,38248.4,31613.2,36861.1,32660.2,31126.2,25983.1,30429.8,26936.6,25574.7,21418.2,25723.9,22774.0,21425.3,18159.0,21535.5,19372.1,18085.4,15292.1,18031.6,16298.4,15219.6,13146.2,15460.6,14024.0,13299.8,11319.7,13915.4,12790.0,12312.6,10641.4,13102.0,11886.6,11127.2,9547.8
Value-added of the Secondary Industry Accumulated(100 million yuan),230681.5,107946.7,483164.5,350563.8,228921.7,106283.4,451544.1,320611.7,206978.8,92520.7,383562.4,269843.2,169945.7,72415.9,380670.6,272940.5,176520.4,80596.7,364835.2,260811.3,167698.8,76598.2,331580.5,236212.5,151638.4,69315.5,295427.8,209923.7,134523.3,61106.8,281338.9,202982.7,131455.9,60505.9,277282.8,199556.9,128585.8,59127.4,261951.6,187740.2,120991.5,55861.2,244639.1,176005.6,113749.4,52316.2,227035.1,162700.5,104077.9,47194.0,191626.5,135693.0,86786.5,39364.2,160168.8,113240.6,71927.6,32549.0,149952.9,108756.6,69861.6,31613.2,126630.5,89769.5,57109.3,25983.1,104359.2,73929.5,46992.9,21418.2,88082.2,62358.3,39584.3,18159.0,74285.0,52749.5,33377.4,15292.1,62695.8,44664.1,28365.8,13146.2,54104.1,38643.5,24619.5,11319.7,49659.4,35743.9,22954.0,10641.4,45663.7,32561.6,20675.0,9547.8
Value-added of the Tertiary Industry Current Quarter(100 million yuan),166461.6,165474.9,169410.7,161945.1,153066.1,154275.8,163427.9,154512.7,151225.6,145310.3,152183.9,142300.1,134883.4,122606.3,141603.5,134825.2,131139.0,127803.3,129846.2,123134.9,119857.8,116861.8,117067.8,109959.5,106982.4,104346.3,104334.0,98067.8,95435.8,92990.5,92840.6,87897.9,85747.4,83258.8,82580.9,77658.7,75921.9,74492.4,73696.6,69569.1,67998.6,66719.3,65107.2,61177.4,59976.1,58595.5,57487.8,54084.0,52868.6,51683.2,49187.8,45423.5,44139.5,43311.1,41541.7,38539.1,37618.9,37065.4,36062.5,33739.9,33632.3,33392.9,31469.8,28469.4,28145.3,27703.2,24575.3,22190.4,22348.5,22648.0,20344.5,18746.0,18929.2,19410.3,17524.6,16124.3,16364.9,16637.0,15481.4,13947.3,13870.6,14456.8,13584.2,12502.1,12509.2,12827.6,12003.0,11089.6,11179.0,11429.7,10582.0,9685.3,9758.0,9873.9
Value-added of the Tertiary Industry Accumulated(100 million yuan),331936.5,165474.9,638697.6,469286.9,307341.9,154275.8,614476.4,451048.5,296535.8,145310.3,551973.7,399789.9,257489.7,122606.3,535371.0,393767.5,258942.3,127803.3,489700.8,359854.5,236719.7,116861.8,438355.9,321288.2,211328.7,104346.3,390828.1,286494.1,188426.3,92990.5,349744.7,256904.1,169006.2,83258.8,310654.0,228073.0,150414.3,74492.4,277983.5,204287.0,134717.9,66719.3,244856.2,179749.0,118571.6,58595.5,216123.6,158635.9,104551.8,51683.2,182061.9,132874.0,87450.6,43311.1,154765.1,113223.4,74684.3,37065.4,136827.5,100765.1,67025.2,33392.9,115787.7,84317.9,55848.5,27703.2,91762.2,67187.0,44996.5,22648.0,77430.0,57085.5,38339.5,19410.3,66650.9,49126.2,33001.9,16637.0,57756.0,42274.7,28327.3,14456.8,51423.1,37838.9,25336.8,12827.6,45701.2,33698.3,22608.7,11429.7,39899.1,29317.1,19631.8,9873.9
Value-added of Agriculture Forestry Animal Husbandry and Fishery industries Current Quarter(100 million yuan),19841.9,12257.4,35056.7,26818.2,19126.0,11581.5,32921.4,24150.0,17981.8,11941.5,30915.4,23065.3,16668.1,10747.7,28583.8,20632.8,15111.7,9248.7,25929.0,18961.8,13662.2,9005.8,23915.8,18944.2,13204.2,8595.8,22577.8,18162.2,13045.5,8665.5,22130.4,17739.2,12296.2,7686.8,21172.1,17371.0,11500.6,7428.5,20447.1,16367.0,10748.2,7130.2,18587.1,15070.2,10238.5,6685.4,16653.8,14219.6,9440.9,5808.3,14596.6,11957.0,8044.6,5020.8,12729.1,10281.5,7104.3,4544.7,11760.5,10084.2,7046.5,4536.9,10621.8,8572.0,5683.1,3606.9,8866.2,7129.6,4907.4,3133.1,8168.0,6690.4,4571.0,2986.8,7856.8,6494.9,4360.7,2698.4,6396.6,5154.5,3537.3,2292.1,6046.2,4820.1,3463.1,2206.3,5897.5,4524.0,3297.0,2061.6,5590.2,4196.1,3209.7,1947.5
Value-added of Agriculture Forestry Animal Husbandry and Fishery industries Accumulated(100 million yuan),32099.3,12257.4,92582.4,57525.7,30707.5,11581.5,86994.8,54073.3,29923.3,11941.5,81396.5,50481.1,27415.8,10747.7,73576.9,44993.2,24360.4,9248.7,67558.7,41629.8,22668.0,9005.8,64660.0,40744.2,21800.0,8595.8,62451.0,39873.2,21711.0,8665.5,59852.6,37722.2,19983.0,7686.8,57472.2,36300.1,18929.1,7428.5,54692.4,34245.4,17878.4,7130.2,50581.2,31994.1,16923.9,6685.4,46122.6,29468.8,15249.2,5808.3,39619.0,25022.4,13065.4,5020.8,34659.7,21930.6,11649.0,4544.7,33428.1,21667.6,11583.4,4536.9,28483.7,17862.0,9290.0,3606.9,24036.4,15170.2,8040.5,3133.1,22416.2,14248.3,7557.8,2986.8,21410.7,13554.0,7059.1,2698.4,17380.6,10984.0,5829.5,2292.1,16535.7,10489.5,5669.5,2206.3,15780.0,9882.5,5358.5,2061.6,14943.6,9353.4,5157.2,1947.5
